english,german,freq
officer,Offizier,58999
decided,entschieden,58896
amazing,tolle,58867
busy,beschäftigt,58776
kept,gehalten,58745
worse,schlimmer,58525
happening,Ereignis,58407
mistake,Fehler,58278
chief,Chef,58110
ya,ya.,58027
forgive,verzeihen,58021
age,das Alter,57722
sell,verkaufen,57721
michael,Michael,57329
mouth,Mund,57306
caught,erwischt,57213
finish,beenden,57159
during,während,57018
clothes,Kleidung,56880
